flight_id,aircraft_id,unit,flight_date,flight_hours,mission_type,weather_condition,completed,abort_reason,year,aircraft_type,acquisition_year
1,AC-001,Alpha,2021-01-03,0.6,Operational,Clear,False,Technical,2021,Class-II Multirole,2021
2,AC-001,Alpha,2021-01-05,3.5,Operational,Poor,True,,2021,Class-II Multirole,2021
3,AC-001,Alpha,2021-01-11,2.5,Operational,Clear,True,,2021,Class-II Multirole,2021
4,AC-001,Alpha,2021-01-14,2.7,Training,Clear,True,,2021,Class-II Multirole,2021
5,AC-001,Alpha,2021-01-18,0.9,Training,Poor,False,Weather,2021,Class-II Multirole,2021
6,AC-001,Alpha,2021-01-24,1.2,Training,Poor,False,Other,2021,Class-II Multirole,2021
7,AC-001,Alpha,2021-02-02,1.9,Training,Marginal,True,,2021,Class-II Multirole,2021
8,AC-001,Alpha,2021-02-03,2.8,Training,Marginal,True,,2021,Class-II Multirole,2021
9,AC-001,Alpha,2021-02-05,2.8,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
10,AC-001,Alpha,2021-02-06,3.3,Training,Clear,True,,2021,Class-II Multirole,2021
11,AC-001,Alpha,2021-02-07,1.9,Operational,Clear,True,,2021,Class-II Multirole,2021
12,AC-001,Alpha,2021-02-11,2.7,Transit,Clear,True,,2021,Class-II Multirole,2021
13,AC-001,Alpha,2021-02-17,2.0,Operational,Clear,True,,2021,Class-II Multirole,2021
14,AC-001,Alpha,2021-02-25,2.5,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
15,AC-001,Alpha,2021-03-08,5.2,Operational,Clear,True,,2021,Class-II Multirole,2021
16,AC-001,Alpha,2021-03-09,5.1,Training,Clear,True,,2021,Class-II Multirole,2021
17,AC-001,Alpha,2021-03-10,2.8,Training,Poor,True,,2021,Class-II Multirole,2021
18,AC-001,Alpha,2021-03-11,3.5,Training,Clear,True,,2021,Class-II Multirole,2021
19,AC-001,Alpha,2021-03-19,5.5,Training,Clear,True,,2021,Class-II Multirole,2021
20,AC-001,Alpha,2021-03-21,0.9,Operational,Clear,False,Weather,2021,Class-II Multirole,2021
21,AC-001,Alpha,2021-03-22,0.7,Transit,Marginal,False,Technical,2021,Class-II Multirole,2021
22,AC-001,Alpha,2021-03-24,4.8,Operational,Clear,True,,2021,Class-II Multirole,2021
23,AC-001,Alpha,2021-03-27,3.6,Operational,Clear,True,,2021,Class-II Multirole,2021
24,AC-001,Alpha,2021-04-02,5.1,Transit,Poor,True,,2021,Class-II Multirole,2021
25,AC-001,Alpha,2021-04-09,1.4,Training,Marginal,False,Weather,2021,Class-II Multirole,2021
26,AC-001,Alpha,2021-04-10,1.5,Training,Marginal,True,,2021,Class-II Multirole,2021
27,AC-001,Alpha,2021-04-17,3.5,Training,Clear,True,,2021,Class-II Multirole,2021
28,AC-001,Alpha,2021-04-19,3.7,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
29,AC-001,Alpha,2021-04-22,3.6,Training,Clear,True,,2021,Class-II Multirole,2021
30,AC-001,Alpha,2021-04-25,3.5,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
31,AC-001,Alpha,2021-04-26,4.3,Training,Clear,True,,2021,Class-II Multirole,2021
32,AC-001,Alpha,2021-04-27,0.6,Operational,Marginal,False,Weather,2021,Class-II Multirole,2021
