aircraft_id,aircraft_type,unit,acquisition_year
AC-001,Class-II Multirole,Alpha,2021
AC-002,Class-I Recon,Bravo,2017
AC-003,Class-III Strike,Charlie,2021
AC-004,Class-II Multirole,Delta,2016
AC-005,Class-I Recon,Echo,2021
AC-006,Class-III Strike,Alpha,2021
AC-007,Class-II Multirole,Bravo,2021
AC-008,Class-II Multirole,Charlie,2020
AC-009,Class-I Recon,Delta,2019
AC-010,Class-II Multirole,Echo,2020
AC-011,Class-I Recon,Alpha,2017
AC-012,Class-III Strike,Bravo,2021
AC-013,Class-II Multirole,Charlie,2019
AC-014,Class-III Strike,Delta,2019
AC-015,Class-I Recon,Echo,2019
AC-016,Class-I Recon,Alpha,2019
AC-017,Class-II Multirole,Bravo,2016
AC-018,Class-I Recon,Charlie,2016
AC-019,Class-III Strike,Delta,2017
AC-020,Class-II Multirole,Echo,2016
AC-021,Class-II Multirole,Alpha,2019
AC-022,Class-I Recon,Bravo,2020
AC-023,Class-III Strike,Charlie,2020
AC-024,Class-III Strike,Delta,2019
AC-025,Class-II Multirole,Echo,2021
AC-026,Class-I Recon,Alpha,2019
AC-027,Class-II Multirole,Bravo,2016
AC-028,Class-I Recon,Charlie,2021
AC-029,Class-I Recon,Delta,2020
AC-030,Class-II Multirole,Echo,2020
AC-031,Class-II Multirole,Alpha,2019
AC-032,Class-III Strike,Bravo,2019
AC-033,Class-I Recon,Charlie,2016
AC-034,Class-I Recon,Delta,2019
AC-035,Class-II Multirole,Echo,2021
AC-036,Class-I Recon,Alpha,2018
AC-037,Class-I Recon,Bravo,2020
AC-038,Class-II Multirole,Charlie,2016
AC-039,Class-I Recon,Delta,2018
AC-040,Class-II Multirole,Echo,2019
AC-041,Class-I Recon,Alpha,2022
AC-042,Class-III Strike,Bravo,2017
AC-043,Class-II Multirole,Charlie,2017
AC-044,Class-I Recon,Delta,2018
AC-045,Class-III Strike,Echo,2022
AC-046,Class-III Strike,Alpha,2021
AC-047,Class-I Recon,Bravo,2016
AC-048,Class-I Recon,Charlie,2017
AC-049,Class-II Multirole,Delta,2021
AC-050,Class-I Recon,Echo,2016
