flight_id,aircraft_id,unit,flight_date,flight_hours,mission_type,weather_condition,completed,abort_reason
1,AC-001,Alpha,2021-01-03,0.6,Operational,Clear,False,Technical
2,AC-001,Alpha,2021-01-05,3.5,Operational,Poor,True,
3,AC-001,Alpha,2021-01-11,2.5,Operational,Clear,True,
4,AC-001,Alpha,2021-01-14,2.7,Training,Clear,True,
5,AC-001,Alpha,2021-01-18,0.9,Training,Poor,False,Weather
6,AC-001,Alpha,2021-01-24,1.2,Training,Poor,False,Other
7,AC-001,Alpha,2021-02-02,1.9,Training,Marginal,True,
8,AC-001,Alpha,2021-02-03,2.8,Training,Marginal,True,
9,AC-001,Alpha,2021-02-05,2.8,Reconnaissance,Clear,True,
10,AC-001,Alpha,2021-02-06,3.3,Training,Clear,True,
11,AC-001,Alpha,2021-02-07,1.9,Operational,Clear,True,
12,AC-001,Alpha,2021-02-11,2.7,Transit,Clear,True,
13,AC-001,Alpha,2021-02-17,2.0,Operational,Clear,True,
14,AC-001,Alpha,2021-02-25,2.5,Reconnaissance,Clear,True,
15,AC-001,Alpha,2021-03-08,5.2,Operational,Clear,True,
16,AC-001,Alpha,2021-03-09,5.1,Training,Clear,True,
17,AC-001,Alpha,2021-03-10,2.8,Training,Poor,True,
18,AC-001,Alpha,2021-03-11,3.5,Training,Clear,True,
19,AC-001,Alpha,2021-03-19,5.5,Training,Clear,True,
20,AC-001,Alpha,2021-03-21,0.9,Operational,Clear,False,Weather
21,AC-001,Alpha,2021-03-22,0.7,Transit,Marginal,False,Technical
22,AC-001,Alpha,2021-03-24,4.8,Operational,Clear,True,
23,AC-001,Alpha,2021-03-27,3.6,Operational,Clear,True,
24,AC-001,Alpha,2021-04-02,5.1,Transit,Poor,True,
25,AC-001,Alpha,2021-04-09,1.4,Training,Marginal,False,Weather
26,AC-001,Alpha,2021-04-10,1.5,Training,Marginal,True,
27,AC-001,Alpha,2021-04-17,3.5,Training,Clear,True,
28,AC-001,Alpha,2021-04-19,3.7,Reconnaissance,Clear,True,
29,AC-001,Alpha,2021-04-22,3.6,Training,Clear,True,
30,AC-001,Alpha,2021-04-25,3.5,Reconnaissance,Marginal,True,
31,AC-001,Alpha,2021-04-26,4.3,Training,Clear,True,
32,AC-001,Alpha,2021-04-27,0.6,Operational,Marginal,False,Weather
33,AC-001,Alpha,2021-05-01,1.0,Operational,Marginal,True,
34,AC-001,Alpha,2021-05-03,1.8,Reconnaissance,Clear,True,
35,AC-001,Alpha,2021-05-04,3.5,Transit,Clear,True,
36,AC-001,Alpha,2021-05-07,3.4,Training,Marginal,True,
37,AC-001,Alpha,2021-05-09,3.4,Training,Clear,True,
38,AC-001,Alpha,2021-05-12,0.4,Training,Clear,False,Technical
39,AC-001,Alpha,2021-05-13,0.4,Transit,Marginal,False,Technical
40,AC-001,Alpha,2021-05-14,4.7,Operational,Clear,True,
41,AC-001,Alpha,2021-05-16,1.0,Training,Marginal,False,Other
42,AC-001,Alpha,2021-05-17,3.1,Training,Clear,True,
43,AC-001,Alpha,2021-05-18,2.0,Training,Clear,True,
44,AC-001,Alpha,2021-05-22,0.8,Training,Poor,False,Technical
45,AC-001,Alpha,2021-05-23,5.3,Training,Clear,True,
46,AC-001,Alpha,2021-05-24,2.3,Training,Clear,True,
47,AC-001,Alpha,2021-05-26,0.9,Training,Clear,True,
48,AC-001,Alpha,2021-05-27,4.4,Operational,Clear,True,
49,AC-001,Alpha,2021-06-01,1.9,Operational,Marginal,True,
50,AC-001,Alpha,2021-06-02,1.0,Operational,Clear,False,Technical
51,AC-001,Alpha,2021-06-04,3.9,Operational,Marginal,True,
52,AC-001,Alpha,2021-06-06,2.9,Training,Clear,True,
53,AC-001,Alpha,2021-06-08,4.7,Reconnaissance,Marginal,True,
54,AC-001,Alpha,2021-06-10,2.2,Transit,Clear,False,Technical
55,AC-001,Alpha,2021-06-12,4.1,Training,Clear,True,
56,AC-001,Alpha,2021-06-13,5.0,Reconnaissance,Clear,True,
57,AC-001,Alpha,2021-06-16,1.4,Training,Clear,False,Technical
58,AC-001,Alpha,2021-06-17,3.7,Transit,Clear,True,
59,AC-001,Alpha,2021-06-18,0.6,Operational,Clear,True,
60,AC-001,Alpha,2021-06-19,0.4,Operational,Marginal,False,Technical
61,AC-001,Alpha,2021-06-20,3.6,Training,Clear,True,
62,AC-001,Alpha,2021-06-23,2.1,Operational,Poor,True,
63,AC-001,Alpha,2021-06-24,0.5,Training,Clear,False,Technical
64,AC-001,Alpha,2021-06-25,2.5,Training,Clear,True,
65,AC-001,Alpha,2021-06-26,3.5,Training,Clear,True,
66,AC-001,Alpha,2021-06-30,0.2,Transit,Marginal,False,Technical
