event_id,aircraft_id,event_date,maintenance_type,downtime_days,issue_category
1,AC-001,2025-03-07,Scheduled,2.5,Routine Inspection
2,AC-001,2024-11-04,Scheduled,1.3,Routine Inspection
3,AC-001,2022-12-14,Scheduled,1.3,Routine Inspection
4,AC-001,2022-05-30,Scheduled,1.7,Routine Inspection
5,AC-001,2022-09-16,Scheduled,1.0,Routine Inspection
6,AC-001,2023-11-05,Scheduled,1.5,Routine Inspection
7,AC-001,2023-10-17,Scheduled,1.9,Routine Inspection
8,AC-001,2022-04-02,Scheduled,1.2,Routine Inspection
9,AC-001,2025-04-11,Scheduled,1.8,Routine Inspection
10,AC-001,2022-06-21,Scheduled,1.3,Routine Inspection
11,AC-001,2023-10-04,Scheduled,3.6,Routine Inspection
12,AC-001,2025-06-05,Scheduled,1.6,Routine Inspection
13,AC-001,2023-02-04,Unscheduled,4.4,Avionics
14,AC-001,2023-08-10,Unscheduled,3.2,Other
15,AC-001,2024-08-31,Unscheduled,0.5,Avionics
16,AC-001,2022-01-12,Unscheduled,0.5,Engine
17,AC-001,2022-11-14,Unscheduled,3.3,Sensor/Payload
18,AC-001,2022-05-05,Unscheduled,2.2,Sensor/Payload
19,AC-001,2025-03-30,Unscheduled,0.8,Airframe
20,AC-001,2022-03-19,Unscheduled,2.4,Engine
21,AC-001,2024-02-15,Unscheduled,1.8,Sensor/Payload
22,AC-001,2021-03-12,Unscheduled,3.3,Airframe
23,AC-001,2025-06-12,Unscheduled,2.6,Sensor/Payload
24,AC-002,2021-06-18,Scheduled,3.5,Routine Inspection
25,AC-002,2024-07-09,Scheduled,3.8,Routine Inspection
26,AC-002,2021-01-19,Scheduled,2.2,Routine Inspection
27,AC-002,2023-10-30,Scheduled,1.1,Routine Inspection
28,AC-002,2022-11-14,Scheduled,3.0,Routine Inspection
29,AC-002,2024-11-23,Scheduled,1.8,Routine Inspection
30,AC-002,2021-11-25,Scheduled,3.9,Routine Inspection
31,AC-002,2025-08-26,Scheduled,1.2,Routine Inspection
32,AC-002,2022-01-20,Scheduled,3.3,Routine Inspection
33,AC-002,2025-02-09,Scheduled,2.0,Routine Inspection
34,AC-002,2025-12-05,Scheduled,1.2,Routine Inspection
35,AC-002,2021-09-10,Scheduled,1.7,Routine Inspection
36,AC-002,2024-03-11,Unscheduled,2.5,Engine
37,AC-002,2023-05-21,Unscheduled,0.5,Avionics
38,AC-002,2021-07-08,Unscheduled,11.3,Other
39,AC-002,2024-01-27,Unscheduled,0.5,Sensor/Payload
40,AC-002,2021-08-23,Unscheduled,0.5,Avionics
41,AC-002,2022-07-21,Unscheduled,0.5,Sensor/Payload
42,AC-002,2022-06-15,Unscheduled,1.3,Sensor/Payload
43,AC-002,2023-12-17,Unscheduled,8.4,Sensor/Payload
44,AC-002,2023-10-12,Unscheduled,0.5,Other
45,AC-002,2023-07-19,Unscheduled,7.2,Airframe
46,AC-003,2021-12-16,Scheduled,3.1,Routine Inspection
47,AC-003,2022-10-03,Scheduled,1.7,Routine Inspection
48,AC-003,2023-12-14,Scheduled,4.0,Routine Inspection
49,AC-003,2023-06-16,Scheduled,3.6,Routine Inspection
50,AC-003,2023-10-25,Scheduled,1.4,Routine Inspection
51,AC-003,2025-12-14,Scheduled,2.3,Routine Inspection
52,AC-003,2021-10-19,Scheduled,2.6,Routine Inspection
53,AC-003,2023-10-07,Scheduled,2.2,Routine Inspection
54,AC-003,2021-04-26,Scheduled,3.0,Routine Inspection
55,AC-003,2023-05-26,Scheduled,2.3,Routine Inspection
56,AC-003,2022-02-08,Scheduled,3.4,Routine Inspection
57,AC-003,2025-06-26,Scheduled,2.1,Routine Inspection
58,AC-003,2022-08-21,Scheduled,3.3,Routine Inspection
59,AC-003,2021-05-03,Unscheduled,0.5,Sensor/Payload
60,AC-003,2023-11-02,Unscheduled,0.8,Sensor/Payload
61,AC-003,2023-07-29,Unscheduled,0.5,Airframe
62,AC-003,2025-04-22,Unscheduled,3.2,Engine
63,AC-003,2025-01-08,Unscheduled,3.7,Engine
64,AC-003,2025-05-30,Unscheduled,1.1,Sensor/Payload
65,AC-003,2022-12-24,Unscheduled,0.8,Airframe
66,AC-003,2023-03-06,Unscheduled,3.6,Engine
67,AC-004,2024-10-28,Scheduled,3.0,Routine Inspection
68,AC-004,2024-08-30,Scheduled,3.2,Routine Inspection
69,AC-004,2022-04-16,Scheduled,1.8,Routine Inspection
70,AC-004,2023-09-09,Scheduled,1.9,Routine Inspection
71,AC-004,2024-07-15,Scheduled,2.2,Routine Inspection
72,AC-004,2022-10-24,Scheduled,1.1,Routine Inspection
73,AC-004,2024-09-09,Scheduled,1.8,Routine Inspection
74,AC-004,2023-12-10,Scheduled,1.2,Routine Inspection
75,AC-004,2024-08-09,Scheduled,3.8,Routine Inspection
76,AC-004,2025-06-16,Scheduled,2.8,Routine Inspection
77,AC-004,2021-11-01,Scheduled,2.1,Routine Inspection
78,AC-004,2025-03-12,Scheduled,3.2,Routine Inspection
79,AC-004,2021-02-02,Scheduled,1.4,Routine Inspection
80,AC-004,2023-12-03,Unscheduled,0.5,Sensor/Payload
81,AC-004,2021-01-03,Unscheduled,0.8,Avionics
82,AC-004,2025-06-28,Unscheduled,0.5,Avionics
83,AC-004,2022-02-02,Unscheduled,0.7,Engine
84,AC-004,2021-07-25,Unscheduled,1.5,Avionics
85,AC-004,2022-01-28,Unscheduled,3.8,Airframe
86,AC-004,2021-01-16,Unscheduled,1.9,Sensor/Payload
87,AC-005,2021-04-06,Scheduled,2.1,Routine Inspection
88,AC-005,2025-07-30,Scheduled,2.8,Routine Inspection
89,AC-005,2023-06-25,Scheduled,1.0,Routine Inspection
90,AC-005,2024-02-02,Scheduled,1.0,Routine Inspection
91,AC-005,2025-02-16,Scheduled,3.8,Routine Inspection
92,AC-005,2024-11-04,Scheduled,1.1,Routine Inspection
93,AC-005,2023-12-03,Scheduled,2.8,Routine Inspection
94,AC-005,2025-09-11,Scheduled,3.8,Routine Inspection
95,AC-005,2021-01-10,Scheduled,1.3,Routine Inspection
96,AC-005,2024-11-14,Scheduled,2.9,Routine Inspection
97,AC-005,2021-12-14,Scheduled,1.6,Routine Inspection
98,AC-005,2022-06-04,Scheduled,2.3,Routine Inspection
99,AC-005,2021-01-12,Scheduled,3.7,Routine Inspection
100,AC-005,2023-08-10,Unscheduled,3.8,Sensor/Payload
101,AC-005,2025-08-02,Unscheduled,8.3,Engine
102,AC-005,2022-08-28,Unscheduled,3.8,Avionics
103,AC-005,2025-10-29,Unscheduled,9.3,Airframe
104,AC-005,2022-01-27,Unscheduled,0.9,Airframe
105,AC-006,2022-06-20,Scheduled,2.4,Routine Inspection
106,AC-006,2024-11-24,Scheduled,1.1,Routine Inspection
107,AC-006,2021-06-28,Scheduled,2.5,Routine Inspection
108,AC-006,2025-10-22,Scheduled,1.2,Routine Inspection
109,AC-006,2021-08-20,Scheduled,3.9,Routine Inspection
110,AC-006,2024-03-18,Scheduled,3.9,Routine Inspection
111,AC-006,2022-03-29,Scheduled,1.4,Routine Inspection
112,AC-006,2023-08-24,Scheduled,1.4,Routine Inspection
113,AC-006,2023-09-08,Scheduled,1.4,Routine Inspection
114,AC-006,2021-05-22,Scheduled,3.6,Routine Inspection
115,AC-006,2021-03-10,Scheduled,3.4,Routine Inspection
116,AC-006,2022-02-09,Scheduled,1.7,Routine Inspection
117,AC-006,2025-06-23,Unscheduled,3.3,Sensor/Payload
118,AC-006,2024-12-02,Unscheduled,1.1,Engine
119,AC-006,2022-04-24,Unscheduled,3.0,Sensor/Payload
120,AC-006,2025-10-21,Unscheduled,1.9,Engine
121,AC-006,2021-10-11,Unscheduled,1.8,Sensor/Payload
122,AC-006,2023-12-07,Unscheduled,10.3,Avionics
123,AC-006,2023-10-21,Unscheduled,3.9,Sensor/Payload
124,AC-007,2023-11-06,Scheduled,2.1,Routine Inspection
125,AC-007,2025-11-22,Scheduled,3.8,Routine Inspection
126,AC-007,2025-04-10,Scheduled,1.5,Routine Inspection
127,AC-007,2023-04-11,Scheduled,3.9,Routine Inspection
128,AC-007,2023-11-09,Scheduled,3.1,Routine Inspection
129,AC-007,2021-10-26,Scheduled,1.9,Routine Inspection
130,AC-007,2022-03-13,Scheduled,2.9,Routine Inspection
131,AC-007,2025-07-05,Scheduled,1.2,Routine Inspection
132,AC-007,2023-01-22,Scheduled,2.4,Routine Inspection
133,AC-007,2022-04-10,Scheduled,3.0,Routine Inspection
134,AC-007,2025-08-16,Scheduled,3.7,Routine Inspection
135,AC-007,2022-10-28,Scheduled,2.5,Routine Inspection
136,AC-007,2025-02-24,Unscheduled,0.7,Sensor/Payload
137,AC-007,2025-02-19,Unscheduled,9.0,Airframe
138,AC-007,2025-07-18,Unscheduled,5.5,Sensor/Payload
139,AC-007,2022-10-15,Unscheduled,5.6,Engine
140,AC-007,2022-04-30,Unscheduled,7.1,Avionics
141,AC-007,2022-06-08,Unscheduled,7.9,Engine
142,AC-007,2023-12-20,Unscheduled,1.6,Avionics
143,AC-007,2024-11-10,Unscheduled,1.1,Sensor/Payload
144,AC-007,2021-03-21,Unscheduled,2.8,Engine
145,AC-008,2023-07-07,Scheduled,1.6,Routine Inspection
146,AC-008,2023-06-08,Scheduled,3.2,Routine Inspection
147,AC-008,2025-05-11,Scheduled,3.8,Routine Inspection
148,AC-008,2025-05-18,Scheduled,3.8,Routine Inspection
149,AC-008,2025-07-13,Scheduled,1.0,Routine Inspection
150,AC-008,2021-09-07,Scheduled,1.5,Routine Inspection
151,AC-008,2021-11-18,Scheduled,3.8,Routine Inspection
152,AC-008,2025-08-09,Scheduled,2.9,Routine Inspection
153,AC-008,2022-07-28,Scheduled,3.1,Routine Inspection
154,AC-008,2025-01-30,Scheduled,2.1,Routine Inspection
155,AC-008,2023-11-19,Scheduled,1.0,Routine Inspection
156,AC-008,2022-01-28,Scheduled,1.6,Routine Inspection
157,AC-008,2025-05-21,Scheduled,3.9,Routine Inspection
158,AC-008,2023-08-29,Unscheduled,1.9,Airframe
159,AC-008,2025-11-17,Unscheduled,2.9,Sensor/Payload
160,AC-008,2021-12-24,Unscheduled,4.3,Airframe
161,AC-008,2023-12-02,Unscheduled,0.5,Sensor/Payload
162,AC-009,2021-03-05,Scheduled,2.3,Routine Inspection
163,AC-009,2022-12-29,Scheduled,3.8,Routine Inspection
