exam_id,crew_id,unit,exam_date,exam_type,score,result
1,CR-001,Alpha,2023-10-15,Initial,70.3,Pass
2,CR-001,Alpha,2023-05-16,Initial,81.7,Pass
3,CR-002,Bravo,2021-02-20,Initial,93.9,Pass
4,CR-002,Bravo,2021-05-29,Initial,74.2,Pass
5,CR-002,Bravo,2021-11-30,Recurrent,78.7,Pass
6,CR-002,Bravo,2025-11-30,Recurrent,80.3,Pass
7,CR-002,Bravo,2023-08-15,Recurrent,62.8,Fail
8,CR-002,Bravo,2022-01-01,Recurrent,87.1,Pass
9,CR-003,Charlie,2021-11-01,Recurrent,74.6,Pass
10,CR-003,Charlie,2022-05-08,Recurrent,74.9,Pass
11,CR-003,Charlie,2021-07-09,Recurrent,88.7,Pass
12,CR-003,Charlie,2024-06-07,Recurrent,80.5,Pass
13,CR-003,Charlie,2022-09-26,Recurrent,76.9,Pass
14,CR-004,Delta,2025-11-20,Initial,77.4,Pass
15,CR-004,Delta,2025-11-10,Initial,92.7,Pass
16,CR-004,Delta,2023-05-27,Recurrent,84.9,Pass
17,CR-005,Echo,2023-10-08,Recurrent,100.0,Pass
18,CR-005,Echo,2025-05-11,Recurrent,92.7,Pass
19,CR-006,Alpha,2022-11-27,Recurrent,98.0,Pass
20,CR-006,Alpha,2021-05-17,Initial,87.1,Pass
21,CR-006,Alpha,2025-12-23,Recurrent,81.5,Pass
22,CR-006,Alpha,2021-08-24,Initial,70.2,Pass
23,CR-006,Alpha,2023-07-16,Recurrent,93.2,Pass
24,CR-007,Bravo,2024-10-10,Recurrent,88.0,Pass
25,CR-007,Bravo,2024-12-20,Recurrent,84.5,Pass
26,CR-007,Bravo,2022-03-02,Initial,77.8,Pass
27,CR-008,Charlie,2023-12-18,Recurrent,78.3,Pass
28,CR-008,Charlie,2021-06-16,Recurrent,77.8,Pass
29,CR-008,Charlie,2024-03-11,Recurrent,87.4,Pass
30,CR-009,Delta,2021-01-10,Recurrent,82.0,Pass
31,CR-009,Delta,2023-09-12,Recurrent,82.3,Pass
32,CR-010,Echo,2025-12-12,Recurrent,62.7,Fail
33,CR-010,Echo,2022-11-15,Recurrent,70.9,Pass
34,CR-010,Echo,2021-04-15,Recurrent,83.9,Pass
35,CR-010,Echo,2024-09-07,Recurrent,93.1,Pass
36,CR-011,Alpha,2025-12-27,Recurrent,86.1,Pass
37,CR-011,Alpha,2023-05-10,Recurrent,80.6,Pass
38,CR-012,Bravo,2022-09-17,Recurrent,75.3,Pass
39,CR-012,Bravo,2024-02-01,Recurrent,79.5,Pass
40,CR-013,Charlie,2023-03-25,Recurrent,78.7,Pass
41,CR-013,Charlie,2023-09-08,Recurrent,96.9,Pass
42,CR-013,Charlie,2021-04-18,Recurrent,83.1,Pass
43,CR-013,Charlie,2025-02-21,Recurrent,81.5,Pass
44,CR-014,Delta,2024-01-23,Recurrent,74.3,Pass
45,CR-014,Delta,2025-02-08,Initial,65.5,Fail
46,CR-014,Delta,2024-05-19,Initial,89.0,Pass
47,CR-015,Echo,2024-01-11,Recurrent,92.5,Pass
48,CR-015,Echo,2024-10-15,Recurrent,93.7,Pass
49,CR-015,Echo,2022-04-25,Recurrent,65.2,Fail
50,CR-015,Echo,2022-01-04,Recurrent,79.2,Pass
51,CR-015,Echo,2023-09-26,Recurrent,90.9,Pass
52,CR-016,Alpha,2022-07-23,Recurrent,90.1,Pass
53,CR-016,Alpha,2021-03-06,Recurrent,89.1,Pass
54,CR-016,Alpha,2022-08-24,Recurrent,94.8,Pass
55,CR-016,Alpha,2021-06-28,Recurrent,79.2,Pass
56,CR-016,Alpha,2023-07-31,Initial,86.3,Pass
57,CR-017,Bravo,2023-07-10,Recurrent,71.5,Pass
58,CR-017,Bravo,2021-09-25,Initial,97.2,Pass
59,CR-017,Bravo,2024-03-23,Recurrent,60.0,Fail
60,CR-017,Bravo,2021-12-26,Recurrent,68.9,Fail
61,CR-017,Bravo,2024-01-06,Recurrent,77.8,Pass
62,CR-018,Charlie,2025-06-07,Recurrent,89.9,Pass
63,CR-018,Charlie,2024-08-17,Initial,73.0,Pass
64,CR-018,Charlie,2021-02-25,Recurrent,85.3,Pass
65,CR-018,Charlie,2021-08-03,Recurrent,84.7,Pass
66,CR-019,Delta,2022-06-30,Recurrent,92.9,Pass
67,CR-019,Delta,2025-06-16,Recurrent,84.9,Pass
68,CR-019,Delta,2021-08-05,Recurrent,87.3,Pass
69,CR-020,Echo,2025-07-22,Recurrent,78.5,Pass
70,CR-020,Echo,2024-07-12,Recurrent,85.7,Pass
71,CR-020,Echo,2023-05-26,Recurrent,78.6,Pass
72,CR-021,Alpha,2025-01-08,Recurrent,75.1,Pass
73,CR-021,Alpha,2025-06-21,Recurrent,86.8,Pass
74,CR-021,Alpha,2021-08-24,Initial,75.8,Pass
75,CR-021,Alpha,2022-07-10,Initial,73.7,Pass
76,CR-022,Bravo,2021-09-28,Recurrent,81.7,Pass
77,CR-022,Bravo,2024-03-06,Recurrent,95.4,Pass
78,CR-022,Bravo,2023-05-24,Recurrent,69.2,Fail
79,CR-023,Charlie,2022-10-25,Recurrent,74.4,Pass
80,CR-023,Charlie,2024-03-11,Initial,70.9,Pass
81,CR-023,Charlie,2025-02-17,Recurrent,79.8,Pass
